pi_name,affiliation
Igor Tetko,Helmholtz Munich
Guido Montúfar,Max Planck Institute
Michael Bronstein,Oxford University
David Gavaghan,Oxford University
Ana Namburete,Oxford University
David Kay,Oxford University
Carola Bibiane Schönlieb,Cambridge
Mihaela van der Schaar,Cambridge
Sarah Bohndiek,Cambridge
Reiko Tanaka,Imperial
Richard Durbin,Cambridge
Neha Bhatia,Cambridge
James Locke,Cambridge
Rosana Collepardo,Cambridge
Micheal Boemo,Cambridge
Máté Lengyel,Cambridge
Ivo Sbalzarini,Max Planck Institute
Heather Harrington,Max Planck Institute
Aida Maraj,Max Planck Institute
Jesse Veenvliet,Max Planck Institute
